city,test_mse_mean,test_mse_median,test_mse_max,test_mse_min,test_mse_std,rrse_mean,rrse_median,rrse_max,rrse_min,rrse_std,correlation_mean,correlation_median,correlation_max,correlation_min,correlation_std,test_mse_denorm_mean,test_mse_denorm_median,test_mse_denorm_max,test_mse_denorm_min,test_mse_denorm_std,rrse_denorm_mean,rrse_denorm_median,rrse_denorm_max,rrse_denorm_min,rrse_denorm_std,correlation_denorm_mean,correlation_denorm_median,correlation_denorm_max,correlation_denorm_min,correlation_denorm_std
Augsburg,0.009169107710476925,0.0065215274225920005,0.0237865597009658,0.0022781272418797,0.008146137116218673,0.2983385,0.269507565,0.5238922,0.16213065,0.13853354091908532,0.9855516651780416,0.9855067728603875,0.9876818722502768,0.983794667613006,0.001236731778612456,17828.84521484375,12680.763427734375,46251.7109375,4429.69873046875,15839.733689501749,0.2983384875,0.269507535,0.5238922,0.16213065,0.13853353754042952,0.9855516648939411,0.9855067728031839,0.9876818718494508,0.9837946674730624,0.001236731883357877
Bern,0.006787522197035757,0.00541975768283,0.0161385387182235,0.0021624423097819,0.004631643231893815,0.2721512642857143,0.25436652,0.4389369,0.16067275,0.090141434754139,0.9847624414038424,0.985144211530386,0.9902453994071728,0.9791922507242992,0.003675245796231592,13197.97900390625,10538.43359375,31380.5390625,4204.7548828125,9005.986430604247,0.27215126714285715,0.25436652,0.43893692,0.16067275,0.09014144110539388,0.9847624411390722,0.9851442112322928,0.9902453997113384,0.9791922499759254,0.003675246075563446
Bordeaux,0.010150597081519613,0.00847668945789335,0.0170835591852664,0.0064452080987393,0.004020987929318123,0.32443795875,0.301087035,0.42769322,0.26270097,0.0625834600151586,0.9881470711794627,0.9909158807066267,0.9941539084324652,0.9783311179103104,0.005992643867003187,19737.297973632812,16482.47314453125,33218.07421875,12532.3662109375,7818.597111600729,0.32443795875,0.301087035,0.42769322,0.26270097,0.06258346337864328,0.9881470708522481,0.99091588008252,0.994153908184326,0.9783311176255366,0.005992643755411874
Bremen,0.0036290732289974334,0.0030098103452473,0.0090850610285997,0.0018804630963131,0.0021388874770028096,0.18809063444444446,0.17618392,0.3060981,0.13926087,0.04801490256210333,0.9914835626886328,0.9916525801794086,0.9951630833620252,0.9884230858780864,0.0023507094154104967,7056.540228949652,5852.41650390625,17665.41796875,3656.460693359375,4158.95284667241,0.18809062777777777,0.17618392,0.3060981,0.13926087,0.0480149026845116,0.9914835629626436,0.9916525802550376,0.9951630835372032,0.9884230864578458,0.002350709349840877
Darmstadt,0.004803261719644,0.004803261719644,0.0053138313814997,0.0042926920577883,0.0007220545403325755,0.240151335,0.240151335,0.2529512,0.22735147,0.01810174267954469,0.9803396749875961,0.9803396749875961,0.9814897195270208,0.9791896304481714,0.0016264085849875137,9339.6884765625,9339.6884765625,10332.4638671875,8346.9130859375,1403.9964218121222,0.240151335,0.240151335,0.2529512,0.22735147,0.01810174267954469,0.980339674985016,0.980339674985016,0.9814897192929792,0.9791896306770528,0.0016264082576516157
Graz,0.0088540224358439,0.010393789038062,0.0108522679656744,0.0057988287881016,0.0025097862066915944,0.33522132200000004,0.36639005,0.37438375,0.27366978,0.04976669445429816,0.9922343986545897,0.9932633562338689,0.9954917908430438,0.9857800190329328,0.003840960493317186,17216.1796875,20210.173828125,21101.662109375,11275.515625,4880.1474303062305,0.33522132200000004,0.36639005,0.37438375,0.27366978,0.04976669445429816,0.9922343986414603,0.9932633559873332,0.9954917904855216,0.9857800195170742,0.003840960235027494
Hamburg,0.0229842676115887,0.0178393702954053,0.0485144108533859,0.0116233369335532,0.013736531276098782,0.5016971228571429,0.4580107,0.755303,0.36970153,0.14720149776392885,0.9757898664524299,0.9750267288069724,0.9844200031716204,0.9701726038721112,0.005461271463062485,44691.691685267855,34687.7109375,94333.6953125,22600.96484375,26709.955175736126,0.5016971414285714,0.4580107,0.755303,0.36970156,0.14720150087326558,0.9757898672577295,0.9750267304234788,0.9844200037241496,0.9701726047615106,0.005461271137293874
Kassel,0.009746383609516214,0.009516124613583,0.0148914335295557,0.0055303955450654,0.0034135479673494443,0.3670191842857143,0.36754233,0.45977524,0.28019178,0.06528233146030117,0.9886353380282759,0.9896354249604415,0.9918572438042528,0.9847022980827708,0.0028283723283232007,18951.327566964286,18503.603515625,28955.60546875,10753.5615234375,6637.463617379329,0.36701916142857144,0.36754233,0.4597752,0.28019178,0.06528231290357019,0.9886353377316434,0.9896354241991908,0.991857243390919,0.984702298390038,0.002828372240072211
London,0.015816544182598518,0.015166128985583751,0.0228319074958562,0.0100351255387067,0.0037730516785604838,0.44927592799999994,0.442739605,0.5432351,0.36014563,0.053555445933277594,0.9746999625761792,0.9761453644779081,0.9888380429938952,0.9437812561777752,0.01440804365687105,30754.4330078125,29489.73828125,44395.43359375,19512.76953125,7336.498962911431,0.44927592699999996,0.44273962,0.5432351,0.36014563,0.053555449523393556,0.9746999624813588,0.9761453638372228,0.9888380429959032,0.943781256453738,0.014408043744951655
Losangeles,0.02145257722586389,0.021513464860618052,0.0243117921054363,0.0169311594218015,0.002081410346525434,0.664588948,0.66626885,0.7082766,0.59106845,0.03299097476119317,0.9136936038243032,0.9156816920466172,0.928388437614824,0.8918342818586432,0.011464381071770313,41713.404296875,41831.80078125,47273.00390625,32921.7421875,4047.1949241748316,0.664588943,0.666268835,0.7082767,0.59106845,0.03299099666225893,0.9136936043499109,0.9156816916550612,0.9283884374073056,0.8918342874680154,0.011464379283904386
Madrid,0.0160995342303067,0.015274310018867199,0.021647622808814,0.0122018940746784,0.003988354829138352,0.58611244,0.5739889,0.68339646,0.5130755,0.0712481152638842,0.9788119231886436,0.980871157671005,0.981885373832943,0.9716200035796214,0.004821777684969746,31304.6923828125,29700.0849609375,42092.66015625,23725.939453125,7755.145908316071,0.586112415,0.57398885,0.68339646,0.5130755,0.07124811707299755,0.9788119228302717,0.9808711571910256,0.9818853736869282,0.9716200032521076,0.004821777691001284
Marseille,0.013595348130911561,0.0133344270288944,0.0193966999650001,0.006965606007725,0.004513241006457944,0.410504306,0.41163248,0.49646243,0.29751024,0.07282727921829175,0.9730911612967024,0.9733231454573396,0.9809657801734072,0.9668784889711542,0.005438659209313047,26435.4349609375,25928.087890625,37715.859375,13544.2529296875,8775.758968840633,0.410504306,0.41163248,0.49646243,0.29751024,0.07282727921829175,0.9730911611693329,0.973323144518536,0.980965779493394,0.9668784888687127,0.00543865904179738
Santander,0.005361610557883921,0.0043757846578955,0.0087417345494031,0.0036355536431074,0.0020575739100393924,0.23742689,0.21736209,0.30722365,0.19812584,0.043573562908553284,0.9888895121460782,0.9893135435109406,0.99060478981377,0.9867648286682236,0.0015629727259178073,10425.368359375,8508.4814453125,16997.841796875,7069.14111328125,4000.844552438588,0.23742689600000003,0.21736209,0.30722368,0.19812584,0.043573574922161594,0.9888895118932813,0.9893135429468668,0.9906047897496966,0.9867648285944968,0.0015629727607350678
Speyer,0.008507003250997463,0.007659314898774,0.016187809407711,0.0041364287026226,0.004011316918373724,0.28735789375,0.27825469999999997,0.40559378,0.20502652,0.06656180536243719,0.9903873435950807,0.9909610747605594,0.9922769220300915,0.9875554430866916,0.0018268998525958846,16541.417419433594,14893.13330078125,31476.3359375,8043.06689453125,7799.792435162102,0.2873578975,0.278254715,0.40559378,0.20502652,0.06656180608168874,0.9903873432530599,0.9909610746826952,0.9922769217970708,0.9875554430276248,0.0018268998504072187
Strasbourg,0.026276320063819452,0.02219283208250995,0.0469044409692287,0.0085077891126275,0.014226311232757723,0.515010015,0.48833514499999997,0.7112993,0.302938,0.14778723402599478,0.9646852581560338,0.9699337152670496,0.9826158477681192,0.9367614110839244,0.01628210282094874,51092.9130859375,43152.783203125,91203.203125,16542.947265625,27662.309006051364,0.5150099983333333,0.48833513500000003,0.71129924,0.30293798,0.14778722536943095,0.9646852575731355,0.9699337146264244,0.9826158474417628,0.9367614103125396,0.016282102882024266
Stuttgart,0.01803682837635275,0.01484392536804075,0.0278184972703456,0.0118054151535034,0.006765185764933352,0.5123964283333333,0.47128384,0.6451983,0.42030737,0.09395410694989326,0.9545644196933321,0.9624147708071393,0.9722268192720254,0.9231268968105764,0.019722607996615727,35071.658854166664,28863.2294921875,54091.59375,22955.001953125,13154.546026865784,0.5123964316666667,0.47128385,0.6451983,0.42030737,0.09395410538331819,0.9545644211349694,0.9624147710642825,0.9722268194468884,0.9231269008693872,0.01972260650723236
Taipeh,0.0072809819830581,0.007434561382979099,0.0088629741221666,0.0053918310441076,0.0015454176073166515,0.2732461475,0.27700189,0.30280316,0.23617765,0.02966877720790816,0.9921826091571517,0.9924149423351858,0.9938376967271532,0.990062855231082,0.0016599746924520556,14157.484375,14456.111328125,17233.5859375,10484.12890625,3004.984052087988,0.2732461225,0.27700187,0.30280313,0.23617762,0.029668784121380673,0.9921826093807338,0.9924149424355986,0.993837696832923,0.9900628558188148,0.0016599743789637634
Toronto,0.02344663273543117,0.02186149824410675,0.0473910719156265,0.0087167480960488,0.012648343774756859,0.5320702589999999,0.53042401,0.78234345,0.33552617,0.14801366546127492,0.9338095374447037,0.936931342363355,0.9685852329670358,0.889849399033101,0.028670579937273837,45590.7369140625,42508.525390625,92149.4296875,16949.255859375,24594.034733270844,0.532070253,0.530424,0.7823434,0.3355262,0.14801365271905847,0.9338095378469019,0.9369313442651158,0.9685852330105568,0.8898493941430653,0.028670580623863403
Toulouse,0.016212875446812627,0.0158259831368923,0.0245561692863702,0.0117539083585143,0.003856458055801626,0.4988359618181818,0.49586073,0.6176674,0.42733207,0.05793566408756937,0.9699344854247869,0.9762396386266308,0.9784744245684968,0.9438544682742728,0.011369854484743609,31525.07794744318,30772.7890625,47748.17578125,22854.853515625,7498.679112195375,0.4988359590909091,0.49586073,0.6176674,0.42733207,0.05793566623445309,0.9699344834323309,0.976239638691793,0.9784744228128356,0.9438544630034555,0.011369855639515635
Zurich,0.006608053168747525,0.006142999976873349,0.0118012949824333,0.0040692137554287,0.002473683810413975,0.2636194425,0.257695725,0.35721233,0.2097572,0.04725476080587702,0.9904135159209689,0.991714687920991,0.995455099627256,0.979432304777732,0.0050193169355875235,12849.009094238281,11944.73828125,22946.9921875,7912.37060546875,4809.946802941447,0.26361944375,0.257695735,0.3572123,0.2097572,0.04725474912576479,0.9904135159417187,0.9917146877119417,0.995455099585913,0.979432305223248,0.005019316771354382
